# Prefix | Origin | NumMonitors | list(;):ObservedPrepends | resultingPolicy
27.60.96.0/19|45609|15|0|0
27.60.128.0/19|45609|15|0|0
27.60.160.0/22|45609|16|0|0
27.60.168.0/22|45609|16|0|0
27.60.176.0/22|45609|16|0|0
27.60.184.0/22|45609|16|0|0
27.60.192.0/21|45609|5|0|0
27.60.200.0/22|45609|5|0|0
27.60.204.0/22|45609|5|0|0
27.60.208.0/20|45609|16|0|0
27.60.236.0/22|45609|15|0|0
27.61.0.0/18|45609|16|0|0
27.61.64.0/21|45609|5|0|0
27.61.72.0/22|45609|5|0|0
27.61.76.0/22|45609|15|0|0
27.61.80.0/22|45609|15|0|0
27.61.84.0/22|45609|15|0|0
27.61.88.0/22|45609|15|0|0
27.61.92.0/22|45609|15|0|0
27.61.96.0/22|45609|15|0|0
27.61.100.0/22|45609|15|0|0
27.61.104.0/22|45609|15|0|0
27.61.108.0/22|45609|15|0|0
27.61.112.0/22|45609|15|0|0
27.61.116.0/22|45609|15|0|0
27.61.120.0/22|45609|15|0|0
27.61.124.0/22|45609|15|0|0
27.61.128.0/22|45609|16|0|0
27.61.132.0/22|45609|16|0|0
27.61.136.0/22|45609|16|0|0
27.61.140.0/22|45609|16|0|0
27.61.144.0/22|45609|16|0|0
27.61.148.0/22|45609|16|0|0
27.61.152.0/22|45609|16|0|0
27.61.156.0/22|45609|16|0|0
27.61.160.0/22|45609|16|0|0
27.61.164.0/22|45609|16|0|0
27.61.168.0/22|45609|16|0|0
27.61.172.0/22|45609|16|0|0
27.61.176.0/22|45609|16|0|0
27.61.180.0/22|45609|16|0|0
27.61.184.0/22|45609|16|0|0
27.61.188.0/22|45609|16|0|0
27.62.0.0/22|45609|16|0|0
27.62.8.0/22|45609|16|0|0
27.62.16.0/22|45609|16|0|0
27.62.24.0/22|45609|16|0|0
27.62.32.0/22|45609|16|0|0
27.62.40.0/22|45609|16|0|0
27.62.48.0/22|45609|16|0|0
27.62.56.0/22|45609|16|0|0
27.62.64.0/22|45609|16|0|0
27.62.72.0/22|45609|16|0|0
27.62.80.0/22|45609|16|0|0
27.62.88.0/22|45609|16|0|0
27.62.96.0/22|45609|16|0|0
27.62.104.0/22|45609|16|0|0
27.62.112.0/22|45609|16|0|0
27.62.120.0/22|45609|16|0|0
27.62.128.0/24|45609|16|0|0
27.62.129.0/24|45609|16|0|0
27.62.130.0/24|45609|16|0|0
27.62.131.0/24|45609|16|0|0
27.62.132.0/24|45609|16|0|0
27.62.133.0/24|45609|16|0|0
27.62.134.0/24|45609|16|0|0
27.62.135.0/24|45609|16|0|0
27.62.136.0/24|45609|16|0|0
27.62.137.0/24|45609|16|0|0
27.62.138.0/24|45609|16|0|0
27.62.139.0/24|45609|15|0|0
27.62.140.0/24|45609|16|0|0
27.62.141.0/24|45609|16|0|0
27.62.142.0/24|45609|16|0|0
27.62.143.0/24|45609|16|0|0
27.62.144.0/22|45609|16|0|0
27.62.148.0/22|45609|16|0|0
27.62.152.0/22|45609|16|0|0
27.62.156.0/22|45609|16|0|0
27.62.160.0/22|45609|16|0|0
27.62.164.0/22|45609|16|0|0
27.62.168.0/22|45609|16|0|0
27.62.172.0/22|45609|16|0|0
27.62.176.0/22|45609|16|0|0
27.62.180.0/22|45609|16|0|0
27.62.184.0/22|45609|16|0|0
27.62.188.0/22|45609|16|0|0
27.62.192.0/22|45609|16|0|0
27.62.196.0/22|45609|16|0|0
27.62.200.0/22|45609|16|0|0
27.62.204.0/22|45609|16|0|0
27.62.208.0/22|45609|16|0|0
27.62.212.0/22|45609|16|0|0
27.62.216.0/22|45609|16|0|0
27.62.220.0/22|45609|16|0|0
27.63.32.0/24|45609|15|0|0
27.63.33.0/24|45609|15|0|0
27.63.34.0/24|45609|15|0|0
27.63.35.0/24|45609|15|0|0
27.63.36.0/24|45609|15|0|0
27.63.37.0/24|45609|15|0|0
27.63.38.0/24|45609|15|0|0
27.63.39.0/24|45609|15|0|0
27.63.40.0/24|45609|15|0|0
27.63.41.0/24|45609|15|0|0
27.63.42.0/24|45609|15|0|0
27.63.43.0/24|45609|15|0|0
27.63.64.0/18|45609|15|0|0
27.63.128.0/20|45609|15|0|0
27.63.144.0/20|45609|15|0|0
27.63.160.0/20|134426|15|0|0
27.63.176.0/20|134426|15|0|0
27.64.0.0/12|7552|15|0|0
27.64.0.0/13|7552|14|0|0
27.64.0.0/14|7552|14|0|0
27.64.0.0/16|7552|14|0|0
27.64.0.0/18|7552|14|0|0
27.64.0.0/21|7552|14|0|0
27.64.8.0/21|7552|14|0|0
27.64.16.0/21|7552|14|0|0
27.64.24.0/21|7552|14|0|0
27.64.32.0/21|7552|15|0|0
27.64.40.0/21|7552|14|0|0
27.64.48.0/21|7552|14|0|0
27.64.56.0/21|7552|14|0|0
27.64.64.0/18|7552|14|0|0
27.64.64.0/21|7552|14|0|0
27.64.72.0/21|7552|14|0|0
27.64.80.0/21|7552|15|0|0
27.64.88.0/21|7552|15|0|0
27.64.96.0/21|7552|15|0|0
27.64.104.0/21|7552|15|0|0
27.64.112.0/21|7552|15|0|0
27.64.120.0/21|7552|14|0|0
27.64.128.0/18|7552|14|0|0
27.64.128.0/22|7552|15|0|0
27.64.132.0/22|7552|14|0|0
27.64.136.0/22|7552|14|0|0
27.64.140.0/22|7552|14|0|0
27.64.144.0/21|7552|14|0|0
27.64.152.0/21|7552|14|0|0
27.64.160.0/21|7552|14|0|0
27.64.168.0/21|7552|14|0|0
27.64.176.0/21|7552|14|0|0
27.64.184.0/21|7552|14|0|0
27.64.192.0/18|7552|14|0|0
27.64.192.0/21|7552|14|0|0
27.64.200.0/21|7552|14|0|0
27.64.208.0/21|7552|14|0|0
27.64.216.0/21|7552|14|0|0
27.64.224.0/21|7552|14|0|0
27.64.232.0/21|7552|14|0|0
27.64.240.0/21|7552|14|0|0
27.64.242.0/24|7552|14|0|0
27.64.243.0/24|7552|15|0|0
27.64.248.0/21|7552|14|0|0
27.65.0.0/21|7552|15|0|0
27.65.8.0/21|7552|15|0|0
27.65.16.0/21|7552|15|0|0
27.65.24.0/21|7552|15|0|0
27.65.32.0/20|7552|15|0|0
27.65.48.0/21|7552|14|0|0
27.65.56.0/21|7552|14|0|0
27.65.64.0/21|7552|15|0|0
27.65.72.0/21|7552|15|0|0
27.65.80.0/21|7552|14|0|0
27.65.88.0/21|7552|14|0|0
27.65.96.0/21|7552|14|0|0
27.65.104.0/21|7552|14|0|0
27.65.112.0/21|7552|14|0|0
27.65.120.0/21|7552|14|0|0
27.65.128.0/21|7552|15|0|0
27.65.136.0/21|7552|15|0|0
27.65.144.0/21|7552|15|0|0
27.65.152.0/21|7552|15|0|0
27.65.160.0/21|7552|15|0|0
27.65.168.0/21|7552|15|0|0
27.65.176.0/21|7552|15|0|0
27.65.184.0/21|7552|15|0|0
27.65.192.0/21|7552|15|0|0
27.65.200.0/21|7552|15|0|0
27.65.208.0/21|7552|15|0|0
27.65.216.0/21|7552|15|0|0
27.65.224.0/21|7552|15|0|0
27.65.232.0/21|7552|14|0|0
27.65.240.0/21|7552|15|0|0
27.65.248.0/21|7552|14|0|0
27.66.0.0/16|7552|14|0|0
27.66.0.0/22|7552|14|0|0
27.66.4.0/22|7552|14|0|0
27.66.8.0/22|7552|14|0|0
27.66.16.0/22|7552|14|0|0
27.66.20.0/22|7552|14|0|0
27.66.24.0/22|7552|14|0|0
27.66.28.0/22|7552|14|0|0
27.66.32.0/22|7552|14|0|0
27.66.36.0/22|7552|14|0|0
27.66.40.0/22|7552|14|0|0
27.66.64.0/22|7552|15|0;5|2
27.66.68.0/22|7552|15|0;5|2
27.66.72.0/22|7552|15|0;5|2
27.66.76.0/22|7552|15|0;5|2
27.66.80.0/22|7552|15|0;5|2
27.66.84.0/22|7552|14|0|0
27.66.92.0/22|7552|15|0;5|2
27.66.96.0/22|7552|15|0;5|2
27.66.100.0/22|7552|15|0;5|2
27.66.104.0/22|7552|14|0|0
27.66.108.0/22|7552|14|0|0
27.66.112.0/22|7552|15|0;5|2
27.66.116.0/22|7552|15|0;5|2
27.66.120.0/22|7552|15|0;5|2
27.66.124.0/22|7552|15|0;5|2
27.66.128.0/20|7552|15|0|0
27.66.144.0/20|7552|15|0|0
27.66.160.0/21|7552|15|0|0
27.66.168.0/21|7552|15|0|0
27.66.176.0/20|7552|14|0|0
27.66.192.0/21|7552|15|0;5|2
27.66.200.0/21|7552|15|0;5|2
27.66.208.0/21|7552|15|0;5|2
27.66.216.0/21|7552|15|0;5|2
27.66.224.0/21|7552|15|0;5|2
27.66.232.0/21|7552|15|0;5|2
27.66.240.0/21|7552|15|0;5|2
27.66.248.0/21|7552|15|0;5|2
27.67.0.0/20|7552|15|0|0
27.67.16.0/20|7552|15|0|0
27.67.32.0/21|7552|15|0|0
27.67.40.0/21|7552|15|0|0
27.67.48.0/24|7552|14|0|0
27.67.49.0/24|7552|14|0|0
27.67.50.0/24|7552|14|0|0
27.67.63.0/24|7552|14|0|0
27.67.96.0/21|7552|15|0|0
27.67.100.0/22|7552|15|0|0
27.67.104.0/21|7552|15|0|0
27.67.108.0/22|7552|15|0|0
27.67.112.0/21|7552|15|0|0
27.67.116.0/22|7552|15|0|0
27.67.120.0/21|7552|15|0|0
27.67.124.0/22|7552|15|0|0
27.67.128.0/20|7552|15|0|0
27.67.136.0/21|7552|15|0|0
27.67.144.0/20|7552|15|0|0
27.67.160.0/20|7552|15|0|0
27.67.176.0/20|7552|15|0|0
27.67.192.0/21|7552|15|0|0
27.67.196.0/22|7552|15|0|0
27.67.200.0/21|7552|15|0|0
27.67.208.0/21|7552|15|0|0
27.67.216.0/21|7552|15|0|0
27.67.224.0/20|7552|15|0|0
27.67.240.0/20|7552|15|0|0
27.68.0.0/14|7552|14|0|0
27.68.0.0/16|7552|14|0|0
27.68.0.0/18|7552|14|0|0
27.68.0.0/21|7552|14|0|0
27.68.8.0/21|7552|14|0|0
27.68.16.0/21|7552|14|0|0
27.68.24.0/21|7552|14|0|0
27.68.32.0/21|7552|15|0|0
27.68.40.0/21|7552|15|0|0
27.68.48.0/21|7552|14|0|0
27.68.56.0/21|7552|14|0|0
27.68.64.0/18|7552|14|0|0
27.68.64.0/21|7552|14|0|0
27.68.72.0/21|7552|14|0|0
27.68.80.0/22|7552|14|0|0
27.68.88.0/21|7552|14|0|0
27.68.96.0/21|7552|14|0|0
27.68.104.0/21|7552|14|0|0
27.68.112.0/21|7552|15|0|0
27.68.120.0/21|7552|15|0|0
27.68.128.0/18|7552|14|0|0
27.68.129.0/24|7552|14|0|0
