# Prefix | Origin | NumMonitors | list(;):ObservedPrepends | resultingPolicy
0.0.0.0/0|136168|1|0|0
1.0.0.0/24|13335|26|0|0
1.0.4.0/22|56203|26|0|0
1.0.4.0/24|56203|27|0|0
1.0.5.0/24|56203|26|0|0
1.0.6.0/24|56203|26|0|0
1.0.7.0/24|56203|27|0|0
1.0.16.0/24|2519|18|0;1|2
1.0.64.0/18|18144|22|0|0
1.0.128.0/17|23969|27|0|0
1.0.128.0/18|23969|27|0|0
1.0.128.0/19|23969|27|0|0
1.0.128.0/24|23969|25|0|0
1.0.129.0/24|23969|27|0|0
1.0.131.0/24|23969|25|0|0
1.0.132.0/22|23969|26|0|0
1.0.136.0/24|23969|25|0|0
1.0.137.0/24|23969|25|0|0
1.0.138.0/24|23969|25|0|0
1.0.139.0/24|23969|25|0|0
1.0.142.0/24|23969|25|0|0
1.0.143.0/24|23969|25|0|0
1.0.144.0/20|23969|26|0|0
1.0.160.0/19|23969|27|0|0
1.0.160.0/22|23969|26|0|0
1.0.164.0/24|23969|26|0|0
1.0.165.0/24|23969|25|0|0
1.0.166.0/24|23969|25|0|0
1.0.167.0/24|23969|25|0|0
1.0.168.0/22|23969|26|0|0
1.0.172.0/22|23969|26|0|0
1.0.176.0/20|23969|26|0|0
1.0.192.0/18|23969|27|0|0
1.0.192.0/19|23969|27|0|0
1.0.192.0/21|23969|26|0|0
1.0.200.0/24|23969|25|0|0
1.0.201.0/24|23969|25|0|0
1.0.202.0/24|23969|25|0|0
1.0.203.0/24|23969|25|0|0
1.0.204.0/22|23969|26|0|0
1.0.208.0/23|23969|26|0|0
1.0.210.0/23|23969|26|0|0
1.0.212.0/23|23969|26|0|0
1.0.214.0/24|23969|25|0|0
1.0.215.0/24|23969|25|0|0
1.0.220.0/24|23969|25|0|0
1.0.221.0/24|23969|25|0|0
1.0.223.0/24|23969|25|0|0
1.0.224.0/19|23969|27|0|0
1.0.240.0/21|23969|26|0|0
1.0.248.0/21|23969|26|0|0
